Species_name	Group	GNAS	GNAL	GNAI1	GNAI2	GNAI3	GoA	GoB	GNAZ	GNA11	GNA14	GNA15	GNAQ	GNA12	GNA13	Barr1_GRK2	Barr2	Barr2_GRK2
Pipistrellus_pipistrellus	Chiroptera	0.232	0.159	0.999	0.904	0.999	0.957	0.926	0.883	0.206	0.869	0.224	0.439	0.442	0.285	0.828	0.497	0.501
Pteronotus_parnellii	Chiroptera	0.189	0.178	0.999	0.899	0.999	0.982	0.95	0.877	0.229	0.837	0.24	0.522	0.516	0.355	0.784	0.497	0.501
Pteropus_alecto	Chiroptera	0.416	0.214	0.999	0.901	0.988	0.878	0.867	0.859	0.212	0.79	0.172	0.45	0.501	0.345	0.779	0.499	0.501
Pteropus_giganteus	Chiroptera	0.292	0.305	0.999	0.901	0.995	0.917	0.893	0.877	0.214	0.777	0.229	0.433	0.47	0.315	0.829	0.498	0.501
Pteropus_vampyrus	Chiroptera	0.373	0.171	1.0	0.912	0.999	1.0	0.954	0.896	0.274	0.648	0.199	0.447	0.523	0.292	0.838	0.498	0.501
Rhinolophus_ferrumequinum	Chiroptera	0.212	0.355	1.0	0.914	0.999	0.984	0.928	0.89	0.224	0.847	0.274	0.458	0.538	0.332	0.847	0.498	0.501
Rousettus_aegyptiacus	Chiroptera	0.141	0.249	0.999	0.896	1.0	0.982	0.923	0.884	0.212	0.809	0.203	0.408	0.521	0.302	0.876	0.497	0.501
Sturnira_hondurensis	Chiroptera	0.25	0.274	0.999	0.9	0.998	0.925	0.934	0.881	0.224	0.759	0.253	0.465	0.535	0.335	0.758	0.497	0.501
Condylura_cristata	Eulipotyphla	0.216	0.214	0.998	0.891	0.998	0.71	0.928	0.866	0.194	0.808	0.25	0.494	0.459	0.33	0.662	0.495	0.5
Erinaceus_europaeus	Eulipotyphla	0.115	0.199	1.0	0.908	0.999	0.974	0.933	0.885	0.213	0.714	0.265	0.381	0.495	0.385	0.729	0.498	0.501
Galemys_pyrenaicus	Eulipotyphla	0.223	0.182	0.996	0.9	0.998	0.88	0.94	0.865	0.207	0.864	0.232	0.488	0.522	0.354	0.534	0.495	0.5
Solenodon_paradoxus	Eulipotyphla	0.302	0.285	0.998	0.898	0.997	0.975	0.932	0.87	0.207	0.82	0.257	0.449	0.467	0.321	0.607	0.496	0.5
Sorex_araneus	Eulipotyphla	0.123	0.252	1.0	0.92	0.999	0.948	0.927	0.881	0.204	0.799	0.242	0.438	0.438	0.302	0.678	0.497	0.5
Sorex_fumeus	Eulipotyphla	0.137	0.231	1.0	0.927	0.999	0.98	0.944	0.889	0.215	0.807	0.273	0.445	0.443	0.296	0.746	0.497	0.501
Suncus_etruscus	Eulipotyphla	0.169	0.201	0.999	0.883	0.999	0.939	0.955	0.883	0.225	0.796	0.212	0.484	0.537	0.374	0.772	0.497	0.501
Talpa_occidentalis	Eulipotyphla	0.249	0.308	0.999	0.894	0.999	0.879	0.922	0.874	0.211	0.832	0.255	0.436	0.494	0.364	0.753	0.497	0.501
Uropsilus_gracilis	Eulipotyphla	0.234	0.251	0.999	0.895	0.998	0.95	0.9	0.868	0.213	0.767	0.179	0.408	0.46	0.351	0.782	0.497	0.501
Lepus_americanus	Lagomorpha	0.198	0.154	0.999	0.904	0.998	0.969	0.93	0.879	0.194	0.822	0.245	0.435	0.487	0.359	0.716	0.497	0.501
Lepus_timidus	Lagomorpha	0.197	0.172	0.999	0.904	0.998	0.956	0.926	0.88	0.191	0.816	0.257	0.436	0.484	0.335	0.703	0.498	0.501
Ochotona_curzoniae	Lagomorpha	0.177	0.204	1.0	0.901	0.998	0.981	0.934	0.879	0.201	0.82	0.299	0.448	0.418	0.369	0.819	0.498	0.501
Ochotona_princeps	Lagomorpha	0.16	0.163	1.0	0.907	0.999	0.984	0.925	0.882	0.204	0.819	0.318	0.455	0.376	0.304	0.83	0.498	0.501
Oryctolagus_cuniculus	Lagomorpha	0.38	0.123	1.0	0.922	0.999	1.0	0.972	0.874	0.301	0.5	0.129	0.367	0.578	0.22	0.831	0.498	0.501
Sylvilagus_bachmani	Lagomorpha	0.156	0.138	0.999	0.91	0.998	0.984	0.936	0.88	0.195	0.856	0.23	0.454	0.534	0.381	0.711	0.497	0.501
Antechinus_flavipes	Metatheria	0.299	0.25	0.999	0.88	0.997	0.857	0.935	0.887	0.253	0.73	0.213	0.488	0.497	0.329	0.733	0.496	0.501
Dromiciops_gliroides	Metatheria	0.371	0.326	0.989	0.82	0.997	0.565	0.912	0.864	0.268	0.853	0.221	0.533	0.578	0.5	0.722	0.497	0.501
Gracilinanus_agilis	Metatheria	0.261	0.314	0.999	0.876	0.994	0.956	0.934	0.877	0.25	0.791	0.193	0.453	0.403	0.372	0.735	0.497	0.501
Monodelphis_domestica	Metatheria	0.243	0.289	0.999	0.884	0.995	0.933	0.922	0.874	0.266	0.717	0.212	0.469	0.415	0.348	0.774	0.497	0.501
Phascolarctos_cinereus	Metatheria	0.273	0.295	0.997	0.855	0.996	0.898	0.931	0.874	0.249	0.8	0.21	0.486	0.545	0.437	0.739	0.496	0.501
Thylacinus_cynocephalus	Metatheria	0.317	0.291	0.998	0.877	0.991	0.886	0.915	0.876	0.243	0.746	0.199	0.485	0.462	0.361	0.797	0.497	0.501
Trichosurus_vulpecula	Metatheria	0.259	0.247	0.998	0.841	0.995	0.745	0.944	0.877	0.251	0.788	0.2	0.503	0.556	0.418	0.748	0.496	0.501
Vombatus_ursinus	Metatheria	0.304	0.27	0.998	0.851	0.997	0.87	0.934	0.875	0.253	0.809	0.196	0.492	0.566	0.374	0.678	0.496	0.501
Ornithorhynchus_anatinus	Monotremata	0.369	0.338	0.998	0.895	0.998	0.88	0.912	0.887	0.232	0.872	0.316	0.472	0.524	0.37	0.827	0.498	0.501
Tachyglossus_aculeatus	Monotremata	0.429	0.303	0.998	0.89	0.997	0.883	0.912	0.884	0.229	0.848	0.318	0.461	0.522	0.362	0.835	0.498	0.501
Ceratotherium_simum	Perissodactyla	0.189	0.192	0.998	0.897	0.999	0.926	0.954	0.886	0.201	0.896	0.282	0.498	0.54	0.343	0.745	0.496	0.501
Dicerorhinus_sumatrensis	Perissodactyla	0.174	0.168	0.999	0.899	0.999	0.945	0.956	0.883	0.205	0.905	0.281	0.522	0.523	0.362	0.718	0.496	0.501
Diceros_bicornis	Perissodactyla	0.193	0.205	0.998	0.894	0.999	0.922	0.954	0.886	0.202	0.895	0.281	0.498	0.548	0.349	0.754	0.496	0.501
Equus_asinus	Perissodactyla	0.201	0.173	0.999	0.903	0.998	0.894	0.954	0.879	0.206	0.882	0.301	0.536	0.477	0.36	0.622	0.495	0.5
Equus_caballus	Perissodactyla	0.201	0.173	0.999	0.903	0.998	0.894	0.954	0.879	0.206	0.882	0.301	0.536	0.477	0.36	0.622	0.495	0.5
Equus_przewalskii	Perissodactyla	0.193	0.169	0.999	0.903	0.998	0.909	0.955	0.879	0.206	0.883	0.303	0.534	0.476	0.361	0.652	0.495	0.501
Equus_quagga	Perissodactyla	0.201	0.173	0.999	0.903	0.998	0.894	0.954	0.879	0.206	0.882	0.301	0.536	0.477	0.36	0.622	0.495	0.5
Rhinoceros_unicornis	Perissodactyla	0.164	0.183	0.998	0.902	0.998	0.955	0.951	0.886	0.2	0.897	0.286	0.499	0.518	0.344	0.755	0.496	0.501
Tapirus_indicus	Perissodactyla	0.167	0.194	0.999	0.913	0.999	0.963	0.942	0.881	0.204	0.881	0.27	0.491	0.514	0.347	0.746	0.497	0.501
Manis_crassicaudata	Pholidota	0.2	0.218	0.998	0.903	0.997	0.974	0.93	0.878	0.207	0.885	0.245	0.489	0.518	0.378	0.739	0.496	0.501
Manis_javanica	Pholidota	0.194	0.209	0.998	0.905	0.997	0.977	0.931	0.879	0.203	0.885	0.261	0.489	0.499	0.358	0.733	0.496	0.501
Manis_pentadactyla	Pholidota	0.184	0.227	0.998	0.904	0.997	0.974	0.932	0.879	0.202	0.883	0.256	0.489	0.494	0.373	0.721	0.496	0.501
Phataginus_tricuspis	Pholidota	0.179	0.173	0.999	0.899	0.996	0.929	0.926	0.877	0.204	0.848	0.248	0.475	0.46	0.344	0.749	0.497	0.501
Aotus_nancymaae	Primates	0.19	0.237	0.999	0.892	0.999	0.966	0.93	0.868	0.202	0.869	0.231	0.452	0.511	0.352	0.71	0.496	0.501
Callithrix_jacchus	Primates	0.197	0.265	0.999	0.892	0.999	0.963	0.925	0.87	0.203	0.876	0.232	0.45	0.515	0.339	0.717	0.496	0.501
Carlito_syrichta	Primates	0.497	0.302	0.992	0.888	0.996	0.904	0.925	0.855	0.202	0.882	0.238	0.515	0.535	0.379	0.674	0.495	0.501
Cebus_capucinus	Primates	0.183	0.26	0.999	0.89	0.999	0.95	0.93	0.867	0.207	0.861	0.225	0.449	0.533	0.364	0.725	0.496	0.501
Cercocebus_atys	Primates	0.353	0.113	1.0	0.903	1.0	1.0	0.987	0.885	0.345	0.686	0.155	0.46	0.684	0.231	0.8	0.497	0.501
Chlorocebus_sabaeus	Primates	0.2	0.234	0.999	0.903	0.999	0.948	0.95	0.877	0.215	0.867	0.279	0.503	0.553	0.379	0.724	0.496	0.501
Colobus_angolensis	Primates	0.194	0.236	0.999	0.906	0.999	0.953	0.951	0.878	0.216	0.864	0.28	0.494	0.563	0.384	0.71	0.496	0.501
Gorilla_gorilla	Primates	0.168	0.232	0.999	0.904	0.999	0.932	0.945	0.875	0.213	0.853	0.258	0.493	0.531	0.358	0.699	0.497	0.501
Homo_sapiens	Primates	0.171	0.215	0.999	0.906	0.999	0.933	0.948	0.873	0.214	0.85	0.256	0.495	0.532	0.364	0.709	0.497	0.501
Hylobates_moloch	Primates	0.166	0.226	0.999	0.903	0.999	0.927	0.947	0.875	0.212	0.855	0.257	0.494	0.548	0.383	0.708	0.496	0.501
Lemur_catta	Primates	0.239	0.311	0.999	0.896	0.999	0.93	0.928	0.876	0.215	0.836	0.222	0.459	0.564	0.389	0.821	0.497	0.501
Macaca_fascicularis	Primates	0.197	0.236	0.999	0.902	0.999	0.96	0.95	0.878	0.22	0.866	0.265	0.494	0.563	0.399	0.761	0.496	0.501
Macaca_mulatta	Primates	0.305	0.153	1.0	0.912	1.0	0.999	0.979	0.905	0.288	0.826	0.276	0.482	0.693	0.353	0.778	0.497	0.501
Macaca_nemestrina	Primates	0.297	0.152	1.0	0.912	1.0	0.999	0.979	0.905	0.289	0.829	0.275	0.482	0.695	0.359	0.765	0.497	0.501
Macaca_thibetana	Primates	0.19	0.238	0.999	0.903	0.999	0.959	0.95	0.877	0.219	0.859	0.264	0.498	0.559	0.396	0.747	0.496	0.501
Mandrillus_leucophaeus	Primates	0.303	0.206	1.0	0.926	1.0	0.999	0.985	0.911	0.301	0.863	0.453	0.549	0.729	0.39	0.794	0.499	0.501
Microcebus_murinus	Primates	0.242	0.22	0.999	0.894	0.999	0.959	0.953	0.882	0.214	0.896	0.259	0.495	0.618	0.408	0.762	0.496	0.501
Nomascus_leucogenys	Primates	0.166	0.218	0.999	0.903	0.999	0.93	0.948	0.876	0.212	0.854	0.26	0.498	0.542	0.375	0.7	0.496	0.501
Nycticebus_coucang	Primates	0.3	0.103	1.0	0.919	1.0	1.0	0.982	0.888	0.328	0.668	0.173	0.415	0.74	0.234	0.818	0.498	0.501
Otolemur_garnettii	Primates	0.179	0.19	0.999	0.902	0.999	0.941	0.944	0.885	0.209	0.856	0.262	0.493	0.55	0.408	0.716	0.496	0.501
Pan_paniscus	Primates	0.168	0.232	0.999	0.904	0.999	0.932	0.945	0.875	0.213	0.853	0.258	0.493	0.531	0.358	0.699	0.497	0.501
Pan_troglodytes	Primates	0.168	0.232	0.999	0.904	0.999	0.932	0.945	0.875	0.213	0.853	0.258	0.493	0.531	0.358	0.699	0.497	0.501
Papio_anubis	Primates	0.207	0.232	0.999	0.9	0.999	0.957	0.952	0.878	0.218	0.861	0.274	0.49	0.568	0.375	0.769	0.496	0.501
Piliocolobus_tephrosceles	Primates	0.341	0.184	1.0	0.921	1.0	0.998	0.979	0.908	0.286	0.833	0.293	0.483	0.711	0.358	0.756	0.498	0.501
Pongo_abelii	Primates	0.163	0.233	0.999	0.904	0.999	0.931	0.944	0.875	0.212	0.852	0.258	0.493	0.52	0.353	0.689	0.497	0.501
Pongo_pygmaeus	Primates	0.163	0.233	0.999	0.904	0.999	0.931	0.944	0.875	0.212	0.852	0.258	0.493	0.52	0.353	0.689	0.497	0.501
Prolemur_simus	Primates	0.214	0.316	0.999	0.892	0.999	0.934	0.93	0.879	0.216	0.83	0.22	0.464	0.557	0.391	0.779	0.497	0.501
Propithecus_coquereli	Primates	0.191	0.27	0.999	0.891	0.999	0.93	0.943	0.879	0.21	0.848	0.241	0.472	0.577	0.375	0.847	0.497	0.501
Rhinopithecus_bieti	Primates	0.213	0.246	0.999	0.903	0.999	0.952	0.95	0.877	0.216	0.856	0.284	0.499	0.555	0.38	0.728	0.497	0.501
Rhinopithecus_roxellana	Primates	0.333	0.163	1.0	0.914	1.0	0.999	0.979	0.904	0.287	0.816	0.272	0.475	0.697	0.355	0.763	0.497	0.501
Saimiri_boliviensis	Primates	0.194	0.258	0.999	0.895	0.999	0.966	0.938	0.87	0.205	0.888	0.219	0.469	0.522	0.387	0.765	0.496	0.501
Sapajus_apella	Primates	0.181	0.252	0.999	0.892	0.999	0.949	0.932	0.867	0.206	0.864	0.227	0.453	0.529	0.353	0.716	0.496	0.501
Symphalangus_syndactylus	Primates	0.166	0.226	0.999	0.903	0.999	0.927	0.947	0.875	0.212	0.855	0.257	0.494	0.548	0.383	0.708	0.496	0.501
Theropithecus_gelada	Primates	0.307	0.236	1.0	0.923	1.0	0.999	0.983	0.913	0.3	0.855	0.451	0.534	0.726	0.364	0.778	0.499	0.501
Trachypithecus_francoisi	Primates	0.338	0.17	1.0	0.918	1.0	0.999	0.98	0.909	0.283	0.837	0.327	0.494	0.722	0.385	0.751	0.498	0.501
Acomys_russatus	Rodentia	0.332	0.292	1.0	0.922	0.999	0.991	0.926	0.877	0.211	0.867	0.274	0.428	0.599	0.349	0.894	0.498	0.501
Apodemus_sylvaticus	Rodentia	0.398	0.174	1.0	0.922	0.999	0.994	0.949	0.875	0.209	0.845	0.303	0.469	0.672	0.381	0.862	0.497	0.501
Arvicanthis_niloticus	Rodentia	0.409	0.221	0.999	0.915	0.999	0.982	0.939	0.868	0.217	0.853	0.229	0.482	0.683	0.433	0.856	0.497	0.501
Arvicola_amphibius	Rodentia	0.286	0.254	0.998	0.907	1.0	0.964	0.931	0.873	0.208	0.894	0.211	0.457	0.646	0.381	0.844	0.496	0.501
Castor_canadensis	Rodentia	0.275	0.162	0.999	0.909	0.998	0.98	0.917	0.874	0.223	0.847	0.26	0.445	0.558	0.406	0.913	0.498	0.501
Cavia_aperea	Rodentia	0.322	0.284	1.0	0.942	0.999	0.995	0.92	0.884	0.229	0.754	0.219	0.422	0.571	0.359	0.896	0.499	0.501
Cavia_porcellus	Rodentia	0.338	0.291	1.0	0.942	0.998	0.993	0.918	0.883	0.23	0.748	0.223	0.423	0.561	0.346	0.912	0.499	0.501
Chinchilla_lanigera	Rodentia	0.319	0.2	1.0	0.931	0.999	0.994	0.942	0.882	0.246	0.854	0.207	0.425	0.552	0.373	0.917	0.498	0.501
Chionomys_nivalis	Rodentia	0.291	0.287	0.997	0.9	1.0	0.957	0.934	0.873	0.202	0.891	0.207	0.467	0.626	0.378	0.859	0.497	0.501
Cricetulus_griseus	Rodentia	0.281	0.214	0.998	0.901	0.999	0.964	0.926	0.862	0.205	0.868	0.224	0.464	0.589	0.37	0.713	0.496	0.501
Dipodomys_spectabilis	Rodentia	0.201	0.187	1.0	0.953	0.961	1.0	0.932	0.844	0.178	0.724	0.315	0.345	0.589	0.347	0.183	0.497	0.5
Fukomys_damarensis	Rodentia	0.328	0.209	1.0	0.929	0.997	0.997	0.944	0.879	0.246	0.863	0.18	0.428	0.597	0.465	0.9	0.498	0.501
Grammomys_surdaster	Rodentia	0.469	0.301	0.999	0.916	0.999	0.976	0.934	0.87	0.209	0.821	0.258	0.477	0.654	0.381	0.854	0.497	0.501
Heterocephalus_glaber	Rodentia	0.351	0.341	0.999	0.899	0.998	0.984	0.925	0.862	0.241	0.82	0.166	0.458	0.515	0.431	0.826	0.497	0.501
Ictidomys_tridecemlineatus	Rodentia	0.309	0.176	0.996	0.901	0.998	0.951	0.95	0.875	0.198	0.878	0.283	0.497	0.571	0.383	0.818	0.497	0.501
Jaculus_jaculus	Rodentia	0.371	0.208	0.996	0.92	0.998	0.892	0.922	0.865	0.188	0.906	0.282	0.477	0.573	0.371	0.639	0.497	0.5
Marmota_flaviventris	Rodentia	0.322	0.224	0.994	0.906	0.997	0.947	0.94	0.871	0.193	0.889	0.27	0.492	0.542	0.386	0.818	0.497	0.501
Marmota_marmota	Rodentia	0.321	0.223	0.993	0.905	0.996	0.955	0.938	0.873	0.192	0.876	0.273	0.483	0.543	0.38	0.813	0.497	0.501
Marmota_monax	Rodentia	0.31	0.223	0.995	0.906	0.997	0.954	0.937	0.873	0.192	0.875	0.277	0.478	0.535	0.362	0.827	0.497	0.501
Mastomys_coucha	Rodentia	0.289	0.197	1.0	0.911	1.0	0.99	0.948	0.888	0.216	0.838	0.289	0.47	0.697	0.354	0.882	0.497	0.501
Meriones_unguiculatus	Rodentia	0.18	0.201	0.999	0.9	1.0	0.89	0.949	0.877	0.198	0.838	0.252	0.47	0.614	0.303	0.832	0.496	0.501
Mesocricetus_auratus	Rodentia	0.371	0.261	0.999	0.913	1.0	0.988	0.921	0.86	0.197	0.878	0.301	0.465	0.64	0.34	0.845	0.497	0.501
Microtus_fortis	Rodentia	0.283	0.233	0.997	0.902	1.0	0.932	0.93	0.87	0.195	0.852	0.198	0.449	0.568	0.31	0.832	0.496	0.501
Microtus_ochrogaster	Rodentia	0.275	0.223	0.998	0.903	1.0	0.95	0.937	0.873	0.197	0.875	0.21	0.455	0.605	0.34	0.822	0.496	0.501
Microtus_oregoni	Rodentia	0.285	0.248	0.997	0.899	1.0	0.915	0.932	0.869	0.196	0.866	0.199	0.452	0.571	0.316	0.82	0.496	0.501
Mus_caroli	Rodentia	0.42	0.184	0.999	0.918	0.999	0.989	0.941	0.871	0.217	0.867	0.264	0.492	0.672	0.416	0.827	0.496	0.501
Mus_musculus	Rodentia	0.41	0.163	0.999	0.924	0.998	0.991	0.944	0.872	0.213	0.862	0.27	0.495	0.663	0.41	0.809	0.496	0.501
Mus_pahari	Rodentia	0.425	0.177	1.0	0.92	0.999	0.995	0.947	0.878	0.213	0.846	0.29	0.484	0.658	0.405	0.875	0.497	0.501
Mus_spicilegus	Rodentia	0.401	0.168	1.0	0.922	0.998	0.995	0.945	0.876	0.213	0.834	0.298	0.479	0.658	0.408	0.817	0.497	0.501
Mus_spretus	Rodentia	0.421	0.192	1.0	0.921	0.998	0.995	0.949	0.877	0.213	0.844	0.297	0.481	0.687	0.419	0.82	0.496	0.501
Nannospalax_galili	Rodentia	0.415	0.193	0.999	0.922	0.999	0.981	0.941	0.879	0.216	0.892	0.246	0.485	0.64	0.427	0.881	0.497	0.501
Octodon_degus	Rodentia	0.742	0.415	0.771	0.753	1.0	0.419	0.606	0.738	0.292	0.832	0.136	0.574	0.581	0.359	0.136	0.497	0.499
Onychomys_torridus	Rodentia	0.404	0.256	0.994	0.901	0.999	0.938	0.909	0.859	0.203	0.877	0.244	0.47	0.604	0.334	0.674	0.496	0.501
Perognathus_longimembris	Rodentia	0.148	0.114	1.0	0.954	0.993	1.0	0.922	0.868	0.203	0.433	0.2	0.329	0.553	0.368	0.223	0.497	0.5
Peromyscus_californicus	Rodentia	0.478	0.249	0.998	0.912	0.998	0.973	0.927	0.868	0.208	0.889	0.296	0.473	0.663	0.384	0.802	0.497	0.501
Peromyscus_leucopus	Rodentia	0.493	0.25	0.998	0.912	0.999	0.971	0.928	0.867	0.21	0.89	0.297	0.478	0.661	0.394	0.797	0.497	0.501
Peromyscus_maniculatus	Rodentia	0.496	0.262	0.998	0.911	0.999	0.969	0.924	0.868	0.209	0.889	0.302	0.471	0.668	0.395	0.806	0.497	0.501
Phodopus_roborovskii	Rodentia	0.272	0.206	0.998	0.901	0.999	0.974	0.938	0.865	0.201	0.895	0.234	0.491	0.614	0.42	0.771	0.496	0.501
Psammomys_obesus	Rodentia	0.176	0.187	0.999	0.904	1.0	0.902	0.949	0.879	0.197	0.845	0.259	0.471	0.62	0.305	0.828	0.496	0.501
Rattus_norvegicus	Rodentia	0.392	0.189	0.999	0.931	0.999	0.989	0.942	0.868	0.2	0.859	0.26	0.474	0.603	0.314	0.783	0.496	0.501
Sciurus_carolinensis	Rodentia	0.294	0.209	0.997	0.911	0.997	0.978	0.93	0.873	0.194	0.87	0.286	0.474	0.536	0.398	0.812	0.497	0.501
Spermophilus_dauricus	Rodentia	0.35	0.235	0.992	0.906	0.995	0.956	0.94	0.871	0.192	0.885	0.268	0.495	0.556	0.378	0.808	0.496	0.501
Urocitellus_parryii	Rodentia	0.3	0.192	0.994	0.903	0.997	0.958	0.947	0.873	0.194	0.882	0.273	0.493	0.531	0.369	0.813	0.496	0.501
Sphenodon_punctatus	Sphenodon_punctatus	0.532	0.231	0.999	0.923	0.999	0.996	0.949	0.893	0.246	0.867	0.425	0.528	0.643	0.315	0.806	0.497	0.501
Ahaetulla_prasina	Squamata	0.139	0.293	0.999	0.864	1.0	0.983	0.96	0.871	0.276	0.85	0.275	0.474	0.65	0.367	0.676	0.494	0.501
Aspidoscelis_marmoratus	Squamata	0.362	0.35	0.992	0.837	0.999	0.967	0.925	0.866	0.257	0.812	0.275	0.462	0.566	0.469	0.716	0.496	0.501
Bothrops_jararaca	Squamata	0.115	0.283	0.999	0.864	1.0	0.974	0.953	0.874	0.275	0.792	0.265	0.437	0.62	0.375	0.718	0.496	0.501
Crotalus_tigris	Squamata	0.117	0.305	0.999	0.863	1.0	0.979	0.955	0.87	0.27	0.795	0.263	0.447	0.63	0.394	0.677	0.495	0.501
Gekko_japonicus	Squamata	0.469	0.267	0.999	0.882	0.999	0.986	0.938	0.869	0.291	0.882	0.329	0.518	0.669	0.598	0.842	0.495	0.501
Hemicordylus_capensis	Squamata	0.624	0.357	0.996	0.856	0.999	0.975	0.901	0.871	0.239	0.853	0.361	0.452	0.609	0.527	0.845	0.496	0.501
Lacerta_agilis	Squamata	0.415	0.411	0.999	0.881	0.999	0.994	0.935	0.87	0.285	0.858	0.368	0.447	0.61	0.476	0.824	0.496	0.501
Pantherophis_guttatus	Squamata	0.181	0.28	0.999	0.844	1.0	0.961	0.959	0.861	0.269	0.841	0.233	0.482	0.648	0.369	0.677	0.495	0.501
Pantherophis_obsoletus	Squamata	0.181	0.276	0.999	0.843	1.0	0.961	0.96	0.86	0.269	0.837	0.232	0.485	0.648	0.368	0.659	0.495	0.501
Phrynosoma_platyrhinos	Squamata	0.351	0.434	0.998	0.86	0.999	0.976	0.881	0.865	0.256	0.806	0.295	0.396	0.44	0.399	0.902	0.497	0.501
Pituophis_catenifer	Squamata	0.164	0.322	0.999	0.851	1.0	0.973	0.947	0.842	0.274	0.823	0.237	0.493	0.661	0.363	0.614	0.495	0.5
Podarcis_muralis	Squamata	0.377	0.37	0.998	0.874	1.0	0.989	0.935	0.866	0.282	0.851	0.33	0.47	0.582	0.46	0.778	0.496	0.501
Podarcis_raffonei	Squamata	0.394	0.376	0.998	0.863	1.0	0.989	0.939	0.868	0.289	0.866	0.323	0.471	0.592	0.477	0.783	0.496	0.501
Pogona_vitticeps	Squamata	0.413	0.31	0.996	0.842	0.999	0.938	0.933	0.867	0.252	0.8	0.323	0.5	0.623	0.49	0.776	0.496	0.501
Protobothrops_mucrosquamatus	Squamata	0.115	0.325	0.999	0.858	1.0	0.97	0.954	0.871	0.274	0.785	0.248	0.442	0.643	0.386	0.675	0.496	0.5
Ptyas_mucosa	Squamata	0.189	0.311	1.0	0.854	1.0	0.994	0.972	0.869	0.307	0.803	0.3	0.495	0.718	0.34	0.785	0.495	0.501
Python_bivittatus	Squamata	0.142	0.34	0.999	0.86	1.0	0.967	0.956	0.87	0.263	0.864	0.279	0.477	0.664	0.415	0.728	0.495	0.501
Python_molurus	Squamata	0.142	0.34	0.999	0.86	1.0	0.967	0.956	0.87	0.263	0.864	0.279	0.477	0.664	0.415	0.728	0.495	0.501
Salvator_merianae	Squamata	0.385	0.326	0.987	0.868	0.999	0.934	0.923	0.871	0.233	0.824	0.284	0.503	0.524	0.429	0.749	0.495	0.501
Sceloporus_undulatus	Squamata	0.381	0.468	0.997	0.842	0.999	0.958	0.894	0.858	0.262	0.798	0.29	0.437	0.54	0.5	0.901	0.497	0.501
Sphaerodactylus_townsendi	Squamata	0.438	0.287	0.997	0.866	0.998	0.935	0.912	0.851	0.266	0.879	0.282	0.508	0.641	0.543	0.697	0.496	0.501
Thamnophis_elegans	Squamata	0.182	0.244	0.997	0.86	1.0	0.98	0.963	0.872	0.267	0.836	0.262	0.495	0.662	0.429	0.699	0.494	0.501
Thamnophis_sirtalis	Squamata	0.182	0.244	0.997	0.86	1.0	0.98	0.963	0.872	0.267	0.836	0.262	0.495	0.662	0.429	0.699	0.494	0.501
Varanus_komodoensis	Squamata	0.542	0.251	0.989	0.855	0.998	0.945	0.922	0.85	0.245	0.842	0.269	0.51	0.622	0.586	0.653	0.495	0.5
Vipera_berus	Squamata	0.107	0.288	1.0	0.86	1.0	0.982	0.953	0.873	0.268	0.775	0.272	0.434	0.615	0.354	0.78	0.496	0.501
Zootoca_vivipara	Squamata	0.392	0.461	0.999	0.879	0.999	0.995	0.936	0.865	0.292	0.841	0.338	0.445	0.627	0.52	0.835	0.496	0.501
Caretta_caretta	Testudines	0.594	0.305	0.926	0.822	0.998	0.747	0.928	0.857	0.236	0.86	0.283	0.553	0.503	0.511	0.704	0.495	0.501
Chelonia_mydas	Testudines	0.56	0.324	0.934	0.829	0.998	0.749	0.921	0.86	0.231	0.86	0.273	0.543	0.484	0.485	0.694	0.495	0.501
Chelonoidis_abingdonii	Testudines	0.515	0.236	0.944	0.836	0.998	0.682	0.932	0.857	0.222	0.855	0.282	0.552	0.482	0.508	0.603	0.495	0.5
Chrysemys_picta	Testudines	0.55	0.285	0.941	0.838	0.998	0.81	0.93	0.86	0.228	0.862	0.291	0.555	0.479	0.482	0.534	0.495	0.5
Gopherus_flavomarginatus	Testudines	0.537	0.216	0.936	0.833	0.997	0.766	0.94	0.86	0.229	0.879	0.306	0.563	0.53	0.525	0.571	0.495	0.5
Malaclemys_terrapin	Testudines	0.55	0.285	0.941	0.838	0.998	0.81	0.93	0.86	0.228	0.862	0.291	0.555	0.479	0.482	0.534	0.495	0.5
Mauremys_mutica	Testudines	0.531	0.244	0.941	0.837	0.997	0.853	0.931	0.858	0.23	0.87	0.286	0.538	0.489	0.5	0.627	0.495	0.5
Mauremys_reevesii	Testudines	0.561	0.241	0.934	0.837	0.997	0.821	0.93	0.86	0.229	0.866	0.285	0.548	0.492	0.494	0.599	0.495	0.5
Pelodiscus_sinensis	Testudines	0.508	0.214	0.957	0.855	0.997	0.899	0.931	0.857	0.255	0.867	0.239	0.576	0.608	0.55	0.634	0.495	0.501
Terrapene_carolina	Testudines	0.557	0.254	0.935	0.832	0.997	0.824	0.932	0.861	0.228	0.855	0.285	0.55	0.467	0.458	0.548	0.495	0.5
Trachemys_scripta	Testudines	0.547	0.283	0.936	0.834	0.998	0.821	0.93	0.86	0.228	0.86	0.283	0.554	0.482	0.484	0.529	0.495	0.5
Choloepus_didactylus	Xenarthra	0.215	0.26	0.999	0.894	0.999	0.968	0.94	0.868	0.219	0.88	0.206	0.471	0.565	0.411	0.798	0.496	0.501
