# klumpy find_klumps --subject MED11_ELP5.All.read.fq --query SRR25741339.4564582.fa
Sequence	Seq_Length	Klump	Klump_Start	Klump_End	Query	Kmer_Count	Direction
SRR25741347.9100702	27532	Klump3	9896	16076	SRR25741339.4564582	105	F
SRR25741347.9100702	27532	Klump4	17174	17417	SRR25741339.4564582	10	F
SRR25741347.9100702	27532	Klump5	18446	24679	SRR25741339.4564582	177	F
SRR25741347.9100702	27532	Klump6	4090	27459	SRR25741339.4564582	1338	R
SRR25741347.9100702	27532	Klump7	1389	1407	SRR25741339.4564582	3	R
SRR25741347.9100703	30975	Klump1	69	22748	SRR25741339.4564582	2246	F
SRR25741347.9100703	30975	Klump2	25307	28195	SRR25741339.4564582	24	F
SRR25741347.9100703	30975	Klump3	29371	30302	SRR25741339.4564582	19	F
SRR25741347.9100703	30975	Klump4	29290	30874	SRR25741339.4564582	14	R
SRR25741347.9100703	30975	Klump5	24629	27682	SRR25741339.4564582	18	R
SRR25741347.9100703	30975	Klump6	21115	22748	SRR25741339.4564582	20	R
SRR25741347.9100703	30975	Klump7	11295	17208	SRR25741339.4564582	178	R
SRR25741347.9100703	30975	Klump8	3294	10008	SRR25741339.4564582	289	R
SRR25741347.9100704	31253	Klump1	405	1120	SRR25741339.4564582	12	F
SRR25741347.9100704	31253	Klump2	2696	2712	SRR25741339.4564582	1	F
SRR25741347.9100704	31253	Klump3	3792	6219	SRR25741339.4564582	22	F
SRR25741347.9100704	31253	Klump4	9011	9382	SRR25741339.4564582	19	F
SRR25741347.9100704	31253	Klump5	10652	10673	SRR25741339.4564582	4	F
SRR25741347.9100704	31253	Klump6	14281	28459	SRR25741339.4564582	551	F
SRR25741347.9100704	31253	Klump7	8782	31251	SRR25741339.4564582	2288	R
SRR25741347.9100704	31253	Klump8	3889	6198	SRR25741339.4564582	24	R
SRR25741347.9100704	31253	Klump9	109	1710	SRR25741339.4564582	29	R
