scientific_name	common_name	genomic_range	location	transcript_accession	transcript_length	transcript_cds_coords	protein_accession	protein_length
Manis javanica	Malayan pangolin	NW_023436083.1:538593-590337	chr Un	XM_037022849.1	3930	XM_037022849.1:708-3761	XP_036878744.1	1017
Manis javanica	Malayan pangolin	NW_023436083.1:538593-590337	chr Un	XM_017671610.2	4231	XM_017671610.2:708-3779	XP_017527099.2	1023
Manis javanica	Malayan pangolin	NW_023436083.1:538593-590337	chr Un	XM_037022850.1	3311	XM_037022850.1:178-2859	XP_036878745.1	893
Rhinopithecus bieti	black snub-nosed monkey	NW_016826783.1:473699-552567	chr Un	XM_017863581.1	3821	XM_017863581.1:22-3606	XP_017719070.1	1194
Nanorana parkeri		NW_017306561.1:330545-401427	chr Un	XM_018557629.1	3285	XM_018557629.1:1-3285	XP_018413131.1	1094
Panthera pardus	leopard	NW_026526876.1:53480304-53552921	chr Un	XM_053892556.1	3787	XM_053892556.1:62-3553	XP_053748531.1	1163
Panthera pardus	leopard	NW_026526876.1:53480304-53552921	chr Un	XM_053892557.1	3554	XM_053892557.1:108-3320	XP_053748532.1	1070
Gavialis gangeticus	Gharial	NW_017729012.1:9544099-9582075	chr Un	XM_019511205.1	4603	XM_019511205.1:137-3781	XP_019366750.1	1214
Crocodylus porosus	Australian saltwater crocodile	NW_017728932.1:16008595-16040975	chr Un	XM_019545317.1	4738	XM_019545317.1:146-3757	XP_019400862.1	1203
Hipposideros armiger	great roundleaf bat	NW_017731654.1:1804846-1870384	chr Un	XM_019659817.1	6128	XM_019659817.1:2511-5930	XP_019515362.1	1139
Bos indicus	zebu cattle	NC_032668.1:24486662-24552627	chr 19	XR_002182947.1	5127			
Bos indicus	zebu cattle	NC_032668.1:24486662-24552627	chr 19	XM_019980864.1	5376	XM_019980864.1:190-3705	XP_019836423.1	1171
Castor canadensis	American beaver	NW_017871499.1:58955-105346	chr Un	XM_020176404.1	3951	XM_020176404.1:1-3537	XP_020031993.1	1178
Odocoileus virginianus	white-tailed deer	NW_018341686.1:594800-653578	chr Un	XM_020881188.1	3733	XM_020881188.1:1-3501	XP_020736847.1	1166
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964670.1	5152	XM_020964670.1:1024-4734	XP_020820329.1	1236
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964674.1	5071	XM_020964674.1:1024-4653	XP_020820333.1	1209
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964677.1	4975	XM_020964677.1:1024-4557	XP_020820336.1	1177
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964673.1	5107	XM_020964673.1:1024-4689	XP_020820332.1	1221
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964675.1	5053	XM_020964675.1:1024-4635	XP_020820334.1	1203
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964671.1	5149	XM_020964671.1:1024-4731	XP_020820330.1	1235
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964672.1	5134	XM_020964672.1:1024-4716	XP_020820331.1	1230
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964676.1	5005	XM_020964676.1:1024-4587	XP_020820335.1	1187
Phascolarctos cinereus	koala	NW_018344106.1:1017937-1070079	chr Un	XM_020964679.1	3752	XM_020964679.1:104-3334	XP_020820338.1	1076
Mus caroli	Ryukyu mouse	NC_034580.1:67802002-67860117	chr 11	XM_021176640.2	3903	XM_021176640.2:30-3533	XP_021032299.1	1167
Mus pahari	shrew mouse	NC_034603.1:40875338-40932422	chr 14	XM_021212949.1	3840	XM_021212949.1:30-3527	XP_021068608.1	1165
Mus pahari	shrew mouse	NC_034603.1:40875338-40932422	chr 14	XM_021212950.2	3837	XM_021212950.2:30-3524	XP_021068609.1	1164
Meriones unguiculatus	Mongolian gerbil	NC_083355.1:46364648-46420432	chr 7	XM_060387333.1	3774	XM_060387333.1:77-3589	XP_060243316.1	1170
Neomonachus schauinslandi	Hawaiian monk seal	NC_058417.1:13267203-13305763	chr 15	XM_044921809.1	2909	XM_044921809.1:1-2703	XP_044777744.1	900
Enhydra lutris kenyoni	northern sea otter	NW_019154147.1:9921294-9995843	chr Un	XM_022521008.1	3474	XM_022521008.1:5-3433	XP_022376716.1	1142
Enhydra lutris kenyoni	northern sea otter	NW_019154147.1:9921294-9995843	chr Un	XM_022521009.1	3350	XM_022521009.1:5-3319	XP_022376717.1	1104
Enhydra lutris kenyoni	northern sea otter	NW_019154147.1:9921294-9995843	chr Un	XM_022521007.1	3473	XM_022521007.1:5-3454	XP_022376715.1	1149
Enhydra lutris kenyoni	northern sea otter	NW_019154147.1:9921294-9995843	chr Un	XM_022521006.1	3701	XM_022521006.1:5-3511	XP_022376714.1	1168
Delphinapterus leucas	beluga whale	NW_022098035.1:7961670-8043697	chr Un	XR_004024347.1	4049			
Delphinapterus leucas	beluga whale	NW_022098035.1:7961670-8043697	chr Un	XR_004024348.1	4396			
Delphinapterus leucas	beluga whale	NW_022098035.1:7961670-8043697	chr Un	XM_030763286.1	4048	XM_030763286.1:284-3937	XP_030619146.1	1217
Delphinapterus leucas	beluga whale	NW_022098035.1:7961670-8043697	chr Un	XM_030763285.1	4217	XM_030763285.1:287-4054	XP_030619145.1	1255
Delphinapterus leucas	beluga whale	NW_022098035.1:7961670-8043697	chr Un	XM_030763284.1	4327	XM_030763284.1:286-4164	XP_030619144.1	1292
Delphinapterus leucas	beluga whale	NW_022098035.1:7961670-8043697	chr Un	XM_022595932.2	4036	XM_022595932.2:282-3803	XP_022451640.1	1173
Piliocolobus tephrosceles	Ugandan red Colobus	NC_045449.1:3498879-3583444	chr 16	XM_026449099.2	3864	XM_026449099.2:95-3649	XP_026304884.1	1184
Piliocolobus tephrosceles	Ugandan red Colobus	NC_045449.1:3498879-3583444	chr 16	XM_026449100.2	3691	XM_026449100.2:36-3479	XP_026304885.1	1147
Sarcophilus harrisii	Tasmanian devil	NC_045428.1:824985-859886	chr 3	XM_031957310.1	4419	XM_031957310.1:1-4131	XP_031813170.1	1376
Terrapene carolina triunguis	Three-toed box turtle	NW_020664582.1:17099965-17158753	chr Un	XM_029912532.1	5549	XM_029912532.1:1-4149	XP_029768392.1	1382
Desmodus rotundus	common vampire bat	NC_071395.1:74895509-74955761	chr 9	XM_045199156.2	3778	XM_045199156.2:63-3632	XP_045055091.2	1189
Desmodus rotundus	common vampire bat	NC_071395.1:74895509-74955761	chr 9	XM_045199158.2	3682	XM_045199158.2:63-3536	XP_045055093.2	1157
Desmodus rotundus	common vampire bat	NC_071395.1:74895509-74955761	chr 9	XM_045199159.2	3586	XM_045199159.2:63-3440	XP_045055094.2	1125
Desmodus rotundus	common vampire bat	NC_071395.1:74895509-74955761	chr 9	XM_053911761.1	3241	XM_053911761.1:63-3149	XP_053767736.1	1028
Neophocaena asiaeorientalis asiaeorientalis	Yangtze finless porpoise	NW_020172446.1:7735060-7794438	chr Un	XM_024734341.1	4480	XM_024734341.1:111-3629	XP_024590109.1	1172
Theropithecus gelada	gelada	NC_037684.1:60030748-60115165	chr 16	XR_003116246.1	716			
Theropithecus gelada	gelada	NC_037684.1:60030748-60115165	chr 16	XM_025363008.1	3851	XM_025363008.1:43-3636	XP_025218793.1	1197
Canis lupus dingo	dingo	NC_064251.1:48745558-48808941	chr 9	XM_025476050.3	4291	XM_025476050.3:561-4067	XP_025331835.2	1168
Callorhinus ursinus	northern fur seal	NW_020313039.1:154711-230885	chr Un	XM_025851510.1	4438	XM_025851510.1:42-3563	XP_025707295.1	1173
Callorhinus ursinus	northern fur seal	NW_020313039.1:154711-230885	chr Un	XM_025851513.1	4327	XM_025851513.1:42-3452	XP_025707298.1	1136
Callorhinus ursinus	northern fur seal	NW_020313039.1:154711-230885	chr Un	XM_025851512.1	4330	XM_025851512.1:42-3455	XP_025707297.1	1137
Callorhinus ursinus	northern fur seal	NW_020313039.1:154711-230885	chr Un	XM_025851518.1	4234	XM_025851518.1:42-3359	XP_025707303.1	1105
Callorhinus ursinus	northern fur seal	NW_020313039.1:154711-230885	chr Un	XM_025851516.1	4297	XM_025851516.1:42-3422	XP_025707301.1	1126
Callorhinus ursinus	northern fur seal	NW_020313039.1:154711-230885	chr Un	XM_025851514.1	4309	XM_025851514.1:42-3434	XP_025707299.1	1130
Callorhinus ursinus	northern fur seal	NW_020313039.1:154711-230885	chr Un	XM_025851517.1	4252	XM_025851517.1:42-3377	XP_025707302.1	1111
Callorhinus ursinus	northern fur seal	NW_020313039.1:154711-230885	chr Un	XM_025851519.1	3813	XM_025851519.1:77-2938	XP_025707304.1	953
Puma concolor	puma	NW_020337979.1:289246-353548	chr Un	XM_025918042.1	3742	XM_025918042.1:1-3489	XP_025773827.1	1162
Vulpes vulpes	red fox	NW_020356695.1:232282-294805	chr Un	XM_025987924.1	3890	XM_025987924.1:155-3661	XP_025843709.1	1168
Apteryx rowi	Okarito brown kiwi	NW_020451304.1:247205-276943	chr Un	XM_026055304.1	4790	XM_026055304.1:16-4098	XP_025911089.1	1360
Dromaius novaehollandiae	emu	NC_088116.1:4974976-5007955	chr 19	XM_026101440.2	4351	XM_026101440.2:115-4266	XP_025957225.2	1383
Urocitellus parryii	Arctic ground squirrel	NW_020540017.1:4344222-4401812	chr Un	XM_026393934.1	3780	XM_026393934.1:31-3525	XP_026249719.1	1164
Ursus arctos	brown bear	NW_026622919.1:45360106-45429265	chr Un	XM_048223097.2	7214	XM_048223097.2:2338-5829	XP_048079054.1	1163
Athene cunicularia	burrowing owl	NW_020799124.1:4345354-4347770	chr 19	XM_026861904.1	883	XM_026861904.1:97-663	XP_026717705.1	188
Lagenorhynchus obliquidens	Pacific white-sided dolphin	NW_020837982.1:7803951-7872685	chr Un	XM_027130695.1	3812	XM_027130695.1:59-3580	XP_026986496.1	1173
Bos indicus x Bos taurus	hybrid cattle	NC_040094.1:25435033-25498392	chr 19	XR_003506646.1	3713			
Bos indicus x Bos taurus	hybrid cattle	NC_040094.1:25435033-25498392	chr 19	XM_027516576.1	6863	XM_027516576.1:51-3566	XP_027372377.1	1171
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568593.2	4328	XM_027568593.2:576-4142	XP_027424394.1	1188
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568598.2	4169	XM_027568598.2:576-3983	XP_027424399.1	1135
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568595.2	4220	XM_027568595.2:576-4034	XP_027424396.1	1152
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568600.2	4061	XM_027568600.2:576-3875	XP_027424401.1	1099
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568599.2	4076	XM_027568599.2:576-3890	XP_027424400.1	1104
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568601.2	3965	XM_027568601.2:576-3779	XP_027424402.1	1067
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568594.2	4276	XM_027568594.2:572-4090	XP_027424395.1	1172
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568596.2	4165	XM_027568596.2:569-3979	XP_027424397.1	1136
Zalophus californianus	California sea lion	NC_045610.1:13566004-13630517	chr 16	XM_027568602.2	3315	XM_027568602.2:229-3129	XP_027424403.1	966
Vombatus ursinus	common wombat	NW_020946652.1:8727444-8780073	chr Un	XM_027848821.1	3822	XM_027848821.1:104-3649	XP_027704622.1	1181
Marmota flaviventris	yellow-bellied marmot	NW_023144835.1:2525053-2591547	chr Un	XM_027922573.2	3798	XM_027922573.2:1-3516	XP_027778374.1	1171
Eumetopias jubatus	Steller sea lion	NW_020998888.1:334925-408458	chr Un	XM_028095470.1	3642	XM_028095470.1:42-3434	XP_027951271.1	1130
Eumetopias jubatus	Steller sea lion	NW_020998888.1:334925-408458	chr Un	XM_028095471.1	3630	XM_028095471.1:42-3422	XP_027951272.1	1126
Eumetopias jubatus	Steller sea lion	NW_020998888.1:334925-408458	chr Un	XM_028095472.1	3567	XM_028095472.1:42-3359	XP_027951273.1	1105
Eumetopias jubatus	Steller sea lion	NW_020998888.1:334925-408458	chr Un	XM_028095468.1	3663	XM_028095468.1:42-3455	XP_027951269.1	1137
Eumetopias jubatus	Steller sea lion	NW_020998888.1:334925-408458	chr Un	XM_028095469.1	3660	XM_028095469.1:42-3452	XP_027951270.1	1136
Eumetopias jubatus	Steller sea lion	NW_020998888.1:334925-408458	chr Un	XM_028095466.1	3771	XM_028095466.1:42-3563	XP_027951267.1	1173
Eumetopias jubatus	Steller sea lion	NW_020998888.1:334925-408458	chr Un	XM_028095473.1	3157	XM_028095473.1:88-2949	XP_027951274.1	953
Phyllostomus discolor	pale spear-nosed bat	NC_040910.2:74755222-74814716	chr 8	XM_036033265.1	3923	XM_036033265.1:181-3747	XP_035889158.1	1188
Podarcis muralis	Common wall lizard	NC_041326.1:2985487-3062758	chr 15	XM_028708707.1	5146	XM_028708707.1:119-5008	XP_028564540.1	1629
Grammomys surdaster		NW_021620462.1:301523-355969	chr Un	XM_028787229.1	3854	XM_028787229.1:68-3571	XP_028643062.1	1167
Monodon monoceros	narwhal	NW_021703786.1:49240084-49322568	chr Un	XR_003792096.1	4203			
Monodon monoceros	narwhal	NW_021703786.1:49240084-49322568	chr Un	XR_003792097.1	4294			
Monodon monoceros	narwhal	NW_021703786.1:49240084-49322568	chr Un	XR_003792099.1	4183			
Monodon monoceros	narwhal	NW_021703786.1:49240084-49322568	chr Un	XR_003792098.1	4203			
Monodon monoceros	narwhal	NW_021703786.1:49240084-49322568	chr Un	XR_003792095.1	4387			
Monodon monoceros	narwhal	NW_021703786.1:49240084-49322568	chr Un	XM_029213341.1	4491	XM_029213341.1:300-4178	XP_029069174.1	1292
Monodon monoceros	narwhal	NW_021703786.1:49240084-49322568	chr Un	XM_029213342.1	4864	XM_029213342.1:300-3821	XP_029069175.1	1173
Monodon monoceros	narwhal	NW_021703786.1:49240084-49322568	chr Un	XM_029213343.1	3773	XM_029213343.1:300-3563	XP_029069176.1	1087
Rhinatrema bivittatum	two-lined caecilian	NC_042622.1:169976777-170128644	chr 8	XM_029611310.1	6207	XM_029611310.1:251-5185	XP_029467170.1	1644
Rhinatrema bivittatum	two-lined caecilian	NC_042622.1:169976777-170128644	chr 8	XM_029611307.1	6392	XM_029611307.1:268-5370	XP_029467167.1	1700
Rhinatrema bivittatum	two-lined caecilian	NC_042622.1:169976777-170128644	chr 8	XM_029611309.1	6389	XM_029611309.1:268-5367	XP_029467169.1	1699
Rhinatrema bivittatum	two-lined caecilian	NC_042622.1:169976777-170128644	chr 8	XM_029611308.1	6389	XM_029611308.1:268-5367	XP_029467168.1	1699
Suricata suricatta	meerkat	NC_043716.1:12094525-12157503	chr 17	XM_029929247.1	3925	XM_029929247.1:368-3691	XP_029785107.1	1107
Suricata suricatta	meerkat	NC_043716.1:12094525-12157503	chr 17	XM_029929244.1	4077	XM_029929244.1:328-3843	XP_029785104.1	1171
Suricata suricatta	meerkat	NC_043716.1:12094525-12157503	chr 17	XM_029929245.1	4073	XM_029929245.1:327-3839	XP_029785105.1	1170
Suricata suricatta	meerkat	NC_043716.1:12094525-12157503	chr 17	XM_029929246.1	3741	XM_029929246.1:16-3507	XP_029785106.1	1163
Aquila chrysaetos chrysaetos		NC_044013.1:39075191-39105947	chr 10	XM_041126579.1	3989	XM_041126579.1:102-3917	XP_040982513.1	1271
Aquila chrysaetos chrysaetos		NC_044013.1:39075191-39105947	chr 10	XM_041126580.1	3831	XM_041126580.1:102-3731	XP_040982514.1	1209
Microcaecilia unicolor		NC_044043.1:54292962-54430734	chr 13	XM_030222426.1	5358	XM_030222426.1:69-3638	XP_030078286.1	1189
Microcaecilia unicolor		NC_044043.1:54292962-54430734	chr 13	XM_030222424.1	5361	XM_030222424.1:69-3641	XP_030078284.1	1190
Lynx canadensis	Canada lynx	NC_044316.2:12874465-12947985	chr E1	XM_030294854.1	3791	XM_030294854.1:2-3547	XP_030150714.1	1181
Strigops habroptila	Kakapo	NW_022651054.1:8254586-8288185	chr 13	XM_030472607.1	5891	XM_030472607.1:23-4414	XP_030328467.1	1463
Strigops habroptila	Kakapo	NW_022651054.1:8254586-8288185	chr 13	XM_030472608.1	5803	XM_030472608.1:184-4326	XP_030328468.1	1380
Strigops habroptila	Kakapo	NW_022651054.1:8254586-8288185	chr 13	XM_030472609.1	3884	XM_030472609.1:23-3823	XP_030328469.1	1266
Strigops habroptila	Kakapo	NW_022651054.1:8254586-8288185	chr 13	XM_030472611.1	4266	XM_030472611.1:23-3676	XP_030328471.1	1217
Strigops habroptila	Kakapo	NW_022651054.1:8254586-8288185	chr 13	XM_030472610.1	4343	XM_030472610.1:23-3736	XP_030328470.1	1237
Strigops habroptila	Kakapo	NW_022651054.1:8254586-8288185	chr 13	XM_030472612.1	3727	XM_030472612.1:23-3658	XP_030328472.1	1211
Gopherus evgoodei	Goodes thornscrub tortoise	NC_044338.1:3689522-3745534	chr 17	XM_030536452.1	5040	XM_030536452.1:153-4301	XP_030392312.1	1382
Globicephala melas	long-finned pilot whale	NC_083333.1:8857243-8902778	chr 20	XM_060290773.1	3775	XM_060290773.1:1-3537	XP_060146756.1	1178
Mastomys coucha	southern multimammate mouse	NW_022196911.1:68511407-68569342	chr Un	XM_031351744.1	3872	XM_031351744.1:185-3769	XP_031207604.1	1194
Mastomys coucha	southern multimammate mouse	NW_022196911.1:68511407-68569342	chr Un	XM_031351746.1	3773	XM_031351746.1:185-3670	XP_031207606.1	1161
Mastomys coucha	southern multimammate mouse	NW_022196911.1:68511407-68569342	chr Un	XM_031351747.1	3589	XM_031351747.1:184-3486	XP_031207607.1	1100
Mastomys coucha	southern multimammate mouse	NW_022196911.1:68511407-68569342	chr Un	XM_031351745.1	3775	XM_031351745.1:184-3672	XP_031207605.1	1162
Hylobates moloch	silvery gibbon	NW_026652294.1:34770561-34844170	chr Un	XM_032138917.2	3894	XM_032138917.2:45-3581	XP_031994808.2	1178
Aythya fuligula	tufted duck	NC_045578.1:7812592-7844745	chr 20	XM_032201050.1	6965	XM_032201050.1:1310-5482	XP_032056941.1	1390
Sapajus apella	tufted capuchin	NW_022437142.1:299621-381046	chr Un	XM_032270061.1	6205	XM_032270061.1:2435-5947	XP_032125952.1	1170
Mustela erminea	ermine	NC_045631.1:10347277-10411966	chr 18	XR_004280489.1	5477			
Mustela erminea	ermine	NC_045631.1:10347277-10411966	chr 18	XM_032320359.1	5094	XM_032320359.1:1402-4902	XP_032176250.1	1166
Phoca vitulina	harbor seal	NW_022589831.1:190157-233408	chr Un	XM_032399066.1	3639	XM_032399066.1:1-3549	XP_032254957.1	1182
Phocoena sinus	vaquita	NC_045782.1:11710486-11780418	chr 20	XM_032615537.1	4406	XM_032615537.1:28-3552	XP_032471428.1	1174
Chelonoidis abingdonii	Abingdon island giant tortoise	NW_022641105.1:924442-985009	chr Un	XM_032785606.1	5042	XM_032785606.1:100-4305	XP_032641497.1	1401
Lontra canadensis	Northern American river otter	NW_022631211.1:475951-536293	chr Un	XM_032849002.1	3968	XM_032849002.1:236-3748	XP_032704893.1	1170
Lontra canadensis	Northern American river otter	NW_022631211.1:475951-536293	chr Un	XM_032849003.1	3633	XM_032849003.1:248-3526	XP_032704894.1	1092
Rattus rattus	black rat	NC_046162.1:42366293-42422662	chr 9	XM_032913455.1	3764	XM_032913455.1:41-3550	XP_032769346.1	1169
Amblyraja radiata	thorny skate	NC_045983.1:3056804-3173633	chr 28	XM_033045589.1	4038	XM_033045589.1:259-3756	XP_032901480.1	1165
Rhinolophus ferrumequinum	greater horseshoe bat	NC_046304.1:14730580-14784645	chr 21	XR_004421251.1	3897			
Rhinolophus ferrumequinum	greater horseshoe bat	NC_046304.1:14730580-14784645	chr 21	XM_033089537.1	4054	XM_033089537.1:465-3866	XP_032945428.1	1133
Rhinolophus ferrumequinum	greater horseshoe bat	NC_046304.1:14730580-14784645	chr 21	XM_033089536.1	4133	XM_033089536.1:448-3945	XP_032945427.1	1165
Lacerta agilis		NC_046326.1:40987026-41022835	chr 15	XM_033172594.1	3171	XM_033172594.1:1-3099	XP_033028485.1	1032
Trachypithecus francoisi	Francois's langur	NW_022681466.1:68598423-68683753	chr Un	XM_033185067.1	4171	XM_033185067.1:495-4052	XP_033040958.1	1185
Trachypithecus francoisi	Francois's langur	NW_022681466.1:68598423-68683753	chr Un	XM_033185068.1	4093	XM_033185068.1:495-3974	XP_033040959.1	1159
Trachypithecus francoisi	Francois's langur	NW_022681466.1:68598423-68683753	chr Un	XM_033185069.1	3853	XM_033185069.1:44-3634	XP_033040960.1	1196
Geotrypetes seraphini		NC_047098.1:37862831-37999074	chr 15	XM_033921420.1	6251	XM_033921420.1:50-3625	XP_033777311.1	1191
Geotrypetes seraphini		NC_047098.1:37862831-37999074	chr 15	XM_033921422.1	6160	XM_033921422.1:244-3534	XP_033777313.1	1096
Geotrypetes seraphini		NC_047098.1:37862831-37999074	chr 15	XM_033921421.1	6168	XM_033921421.1:120-3542	XP_033777312.1	1140
Arvicanthis niloticus	Nile rat	NC_047663.1:48359312-48401557	chr 6	XM_034505026.1	3779	XM_034505026.1:1-3480	XP_034360917.1	1159
Trachemys scripta elegans		NC_048315.1:3406410-3454946	chr 18	XM_034752689.1	4457	XM_034752689.1:36-4178	XP_034608580.1	1380
Mirounga leonina	Southern elephant seal	NW_023270503.1:159834-227573	chr Un	XM_035027497.1	5035	XM_035027497.1:35-3535	XP_034883388.1	1166
Zootoca vivipara	common lizard	NC_083290.1:2983894-3052498	chr 15	XR_009558590.1	3557			
Zootoca vivipara	common lizard	NC_083290.1:2983894-3052498	chr 15	XM_060283081.1	3920	XM_060283081.1:135-3689	XP_060139064.1	1184
Oxyura jamaicensis	ruddy duck	NC_048911.1:7554169-7585306	chr 19	XM_035342946.1	9003	XM_035342946.1:4073-8311	XP_035198837.1	1412
Oxyura jamaicensis	ruddy duck	NC_048911.1:7554169-7585306	chr 19	XM_035342947.1	8994	XM_035342947.1:4073-8302	XP_035198838.1	1409
Oxyura jamaicensis	ruddy duck	NC_048911.1:7554169-7585306	chr 19	XM_035342948.1	6007	XM_035342948.1:1137-5315	XP_035198839.1	1392
Cygnus atratus	black swan	NC_066381.1:7834285-7867167	chr 20	XM_050714787.1	6459	XM_050714787.1:634-4800	XP_050570744.1	1388
Halichoerus grypus	gray seal	NW_023404196.1:8858-52533	chr Un	XM_036092850.1	3752	XM_036092850.1:1-3540	XP_035948743.1	1179
Onychomys torridus	southern grasshopper mouse	NC_050450.1:61623244-61671068	chr 8	XM_036198222.1	3659	XM_036198222.1:1-3474	XP_036054115.1	1157
Molossus molossus	Pallas's mastiff bat	NW_023425354.1:44184619-44248209	chr Un	XM_036269485.1	3711	XM_036269485.1:6-3593	XP_036125378.1	1195
Myotis myotis		NW_023416321.1:38909805-38971351	chr Un	XM_036341288.1	4393	XM_036341288.1:525-4118	XP_036197181.1	1197
Pipistrellus kuhlii	Kuhl's pipistrelle	NW_023425522.1:12361201-12419252	chr Un	XM_036451795.2	3937	XM_036451795.2:125-3670	XP_036307688.1	1181
Trichosurus vulpecula	common brushtail	NC_050576.1:441425052-441478746	chr 4	XM_036755850.1	5294	XM_036755850.1:1-5058	XP_036611745.1	1685
Balaenoptera musculus	blue whale	NC_045804.1:47858544-47927386	chr 20	XM_036836310.1	3833	XM_036836310.1:66-3593	XP_036692205.1	1175
Manis pentadactyla	Chinese pangolin	NC_080022.1:138960118-139011118	chr 4	XM_036887246.2	3919	XM_036887246.2:802-3855	XP_036743141.2	1017
Manis pentadactyla	Chinese pangolin	NC_080022.1:138960118-139011118	chr 4	XM_057501025.1	3881	XM_057501025.1:802-3873	XP_057357008.1	1023
Manis pentadactyla	Chinese pangolin	NC_080022.1:138960118-139011118	chr 4	XM_057501027.1	2862	XM_057501027.1:173-2854	XP_057357010.1	893
Sturnira hondurensis		NW_023527571.1:307531-366012	chr Un	XM_037029560.1	3841	XM_037029560.1:83-3667	XP_036885455.1	1194
Sturnira hondurensis		NW_023527571.1:307531-366012	chr Un	XM_037029559.1	3937	XM_037029559.1:83-3763	XP_036885454.1	1226
Artibeus jamaicensis	Jamaican fruit-eating bat	NW_026521966.1:2764721-2824912	chr Un	XM_037133047.2	3981	XM_037133047.2:67-3756	XP_036988942.2	1229
Talpa occidentalis	Iberian mole	NW_023605083.1:87970717-88039506	chr Un	XM_054689742.1	6748	XM_054689742.1:1713-5234	XP_054545717.1	1173
Talpa occidentalis	Iberian mole	NW_023605083.1:87970717-88039506	chr Un	XM_054689743.1	5036	XM_054689743.1:1-3522	XP_054545718.1	1173
Choloepus didactylus	southern two-toed sloth	NC_051324.1:16630569-16724915	chr 18	XM_037810646.1	3802	XM_037810646.1:61-3585	XP_037666574.1	1174
Chelonia mydas	Green sea turtle	NC_051257.2:3534355-3557945	chr 17	XM_043531428.1	3232	XM_043531428.1:1-2580	XP_043387363.1	859
Arvicola amphibius	Eurasian water vole	NC_052050.1:47823880-47883818	chr 4	XM_038328488.1	3709	XM_038328488.1:41-3541	XP_038184416.1	1166
Dermochelys coriacea	leatherback sea turtle	NC_050084.1:3597547-3629531	chr 17	XM_043499709.1	3796	XM_043499709.1:797-3796	XP_043355644.1	999
Tachyglossus aculeatus	Australian echidna	NC_052082.1:51357974-51422499	chr 17	XM_038759019.1	3798	XM_038759019.1:36-3467	XP_038614947.1	1143
Hyaena hyaena	striped hyena	NW_024081876.1:230423-306533	chr Un	XM_039223030.1	3842	XM_039223030.1:1-3558	XP_039078961.1	1185
Mauremys reevesii	Reeves's turtle	NC_052642.1:21470730-21526149	chr 20	XM_039507483.1	4813	XM_039507483.1:209-4552	XP_039363417.1	1447
Mauremys reevesii	Reeves's turtle	NC_052642.1:21470730-21526149	chr 20	XM_039507482.1	4816	XM_039507482.1:209-4555	XP_039363416.1	1448
Pteropus giganteus	Indian flying fox	NW_024349799.1:16838474-16896253	chr Un	XM_039886394.1	5479	XM_039886394.1:949-4437	XP_039742328.1	1162
Oryx dammah	scimitar-horned oryx	NW_024070192.1:37711705-37773625	chr Un	XM_040244444.1	5223	XM_040244444.1:52-3564	XP_040100378.1	1170
Rana temporaria	common frog	NC_053490.1:462137677-462258535	chr 2	XM_040338624.1	3534	XM_040338624.1:162-3437	XP_040194558.1	1091
Bufo bufo	common toad	NC_053391.1:94775527-94913479	chr 3	XR_005777447.1	3196			
Bufo bufo	common toad	NC_053391.1:94775527-94913479	chr 3	XM_040423354.1	5533	XM_040423354.1:66-3638	XP_040279288.1	1190
Puma yagouaroundi	jaguarundi	NW_024412446.1:11439653-11515040	chr Un	XM_040455566.1	4947	XM_040455566.1:60-3503	XP_040311500.1	1147
Puma yagouaroundi	jaguarundi	NW_024412446.1:11439653-11515040	chr Un	XM_040455564.1	5043	XM_040455564.1:60-3599	XP_040311498.1	1179
Puma yagouaroundi	jaguarundi	NW_024412446.1:11439653-11515040	chr Un	XM_040455569.1	4743	XM_040455569.1:108-3299	XP_040311503.1	1063
Puma yagouaroundi	jaguarundi	NW_024412446.1:11439653-11515040	chr Un	XM_040455567.1	3704	XM_040455567.1:60-3461	XP_040311501.1	1133
Puma yagouaroundi	jaguarundi	NW_024412446.1:11439653-11515040	chr Un	XM_040455565.1	4309	XM_040455565.1:578-4066	XP_040311499.1	1162
Cygnus olor	mute swan	NC_049188.1:7901317-7933174	chr 20	XR_005814031.1	4582			
