gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
103011931	ITGAE	integrin subunit alpha E	Balaenoptera acutorostrata	minke whale	9767	NC_080083.1:12397767-12457014	+	chr 20	PROTEIN_CODING	XM_057537047.1	transcript variant X2	3955	XM_057537047.1:287-3715	XP_057393030.1	isoform X2	1142	integrin alpha-E
103011931	ITGAE	integrin subunit alpha E	Balaenoptera acutorostrata	minke whale	9767	NC_080083.1:12397767-12457014	+	chr 20	PROTEIN_CODING	XM_007177439.2	transcript variant X1	3768	XM_007177439.2:1-3528	XP_007177501.2	isoform X1	1175	integrin alpha-E
103070546	ITGAE	integrin subunit alpha E	Lipotes vexillifer	Yangtze River dolphin	118797	NW_006780838.1:451893-500398	+	chr Un	PROTEIN_CODING	XM_007454252.1		4056	XM_007454252.1:1-4056	XP_007454314.1		1351	integrin alpha-E
103113460	ITGAE	integrin subunit alpha E	Erinaceus europaeus	western European hedgehog	9365	NC_080173.1:81794798-81914919	-	chr 12	PROTEIN_CODING	XM_060204169.1		3501	XM_060204169.1:101-3301	XP_060060152.1		1066	integrin alpha-E
103194226	ITGAE	integrin subunit alpha E	Orycteropus afer afer		1230840	NW_006921629.1:12785556-12863683	-	chr Un	PROTEIN_CODING	XM_042780492.1		3852	XM_042780492.1:1-3852	XP_042636426.1		1283	integrin alpha-E
103242549	ITGAE	integrin subunit alpha E	Chlorocebus sabaeus	green monkey	60711	NW_023666059.1:18496232-18580496	+	chr Un	PROTEIN_CODING	XM_037987458.1		4631	XM_037987458.1:822-4412	XP_037843386.1		1196	LOW QUALITY PROTEIN: integrin alpha-E
103263070	ITGAE	integrin subunit alpha E	Carlito syrichta	Philippine tarsier	1868482	NW_007248809.1:442298-501469	+	chr Un	PROTEIN_CODING	XM_008060746.1	transcript variant X1	3903	XM_008060746.1:99-3620	XP_008058937.1		1173	integrin alpha-E
103263070	ITGAE	integrin subunit alpha E	Carlito syrichta	Philippine tarsier	1868482	NW_007248809.1:442298-501469	+	chr Un	PROTEIN_CODING	XR_002482118.1	transcript variant X2	768					
103299934	ITGAE	integrin subunit alpha E	Eptesicus fuscus	big brown bat	29078	NC_072492.1:14715944-14761592	+	chr 20	PROTEIN_CODING	XM_054709374.1		3800	XM_054709374.1:1-3600	XP_054565349.1		1199	integrin alpha-E
103558303	ITGAE	integrin subunit alpha E	Equus przewalskii	Przewalski's horse	9798	NW_007674655.1:16360-76741	-	chr Un	PROTEIN_CODING	XM_008531217.1		3786	XM_008531217.1:79-3582	XP_008529439.1		1167	LOW QUALITY PROTEIN: integrin alpha-E
103587545	ITGAE	integrin subunit alpha E	Galeopterus variegatus	Sunda flying lemur	482537	NW_007726136.1:1061602-1111532	+	chr Un	PROTEIN_CODING	XM_008569042.1		3779	XM_008569042.1:1-3603	XP_008567264.1		1200	integrin alpha-E
103667372	ITGAE	integrin subunit alpha E	Ursus maritimus	polar bear	29073	NW_024424897.1:46052784-46121665	-	chr Un	PROTEIN_CODING	XM_040639841.1		4053	XM_040639841.1:16-3870	XP_040495775.1		1284	integrin alpha-E
103752019	Itgae	integrin subunit alpha E	Nannospalax galili	Upper Galilee mountains blind mole rat	1026970	NW_008357921.1:251554-297480	-	chr Un	PROTEIN_CODING	XM_029557465.1	transcript variant X2	3604	XM_029557465.1:51-3410	XP_029413325.1	isoform X2	1119	integrin alpha-E
103752019	Itgae	integrin subunit alpha E	Nannospalax galili	Upper Galilee mountains blind mole rat	1026970	NW_008357921.1:251554-297480	-	chr Un	PROTEIN_CODING	XM_029557466.1	transcript variant X3	3595	XM_029557466.1:51-3401	XP_029413326.1	isoform X3	1116	integrin alpha-E
103752019	Itgae	integrin subunit alpha E	Nannospalax galili	Upper Galilee mountains blind mole rat	1026970	NW_008357921.1:251554-297480	-	chr Un	PROTEIN_CODING	XM_029557467.1	transcript variant X4	3574	XM_029557467.1:51-3380	XP_029413327.1	isoform X4	1109	integrin alpha-E
103752019	Itgae	integrin subunit alpha E	Nannospalax galili	Upper Galilee mountains blind mole rat	1026970	NW_008357921.1:251554-297480	-	chr Un	PROTEIN_CODING	XM_029557464.1	transcript variant X1	3670	XM_029557464.1:51-3476	XP_029413324.1	isoform X1	1141	integrin alpha-E
103752019	Itgae	integrin subunit alpha E	Nannospalax galili	Upper Galilee mountains blind mole rat	1026970	NW_008357921.1:251554-297480	-	chr Un	PROTEIN_CODING	XM_029557468.1	transcript variant X5	3301	XM_029557468.1:51-3152	XP_029413328.1	isoform X5	1033	integrin alpha-E
103774002	ITGAE	integrin subunit alpha E	Merops nubicus	carmine bee-eater	57421	NW_008611890.1:3904-21587	-	chr Un	PROTEIN_CODING	XM_008941384.1		3375	XM_008941384.1:1-3375	XP_008939632.1		1124	integrin alpha-E
103898121	ITGAE	integrin subunit alpha E	Aptenodytes forsteri	emperor penguin	9233	NW_008795131.1:1581564-1613478	+	chr Un	PROTEIN_CODING	XM_019471771.1		4302	XM_019471771.1:1-4302	XP_019327316.1		1433	LOW QUALITY PROTEIN: integrin alpha-E
103920810	ITGAE	integrin subunit alpha E	Pygoscelis adeliae	Adelie penguin	9238	NW_008825158.1:272653-293697	-	chr Un	PROTEIN_CODING	XM_009328657.1		3442	XM_009328657.1:1-2757	XP_009326932.1		918	integrin alpha-E
104012201	ITGAE	integrin subunit alpha E	Nipponia nippon	crested ibis	128390	NW_009000161.1:288323-323047	-	chr Un	PROTEIN_CODING	XM_009464560.1		4260	XM_009464560.1:1-4260	XP_009462835.1		1419	integrin alpha-E
104036077	ITGAE	integrin subunit alpha E	Pelecanus crispus	Dalmatian pelican	36300	NW_009106600.1:2202-22487	-	chr Un	PROTEIN_CODING	XM_009489561.1		3493	XM_009489561.1:2-3493	XP_009487836.1		1163	integrin alpha-E
104049597	ITGAE	integrin subunit alpha E	Phalacrocorax carbo	great cormorant	9209	NC_087529.1:2981556-3009899	+	chr 17	PROTEIN_CODING	XM_064468213.1		7031	XM_064468213.1:452-5146	XP_064324283.1		1564	integrin alpha-E
104073717	ITGAE	integrin subunit alpha E	Fulmarus glacialis	Northern fulmar	30455	NW_009200373.1:4450-27073	-	chr Un	PROTEIN_CODING	XM_009573592.1		3357	XM_009573592.1:1-3357	XP_009571887.1		1118	integrin alpha-E
104121858	ITGAE	integrin subunit alpha E	Egretta garzetta	little egret	188379	NW_009258884.1:2426943-2456615	-	chr Un	PROTEIN_CODING	XM_035889510.1	transcript variant X1	4306	XM_035889510.1:445-4224	XP_035745403.1	isoform X1	1259	integrin alpha-E
104121858	ITGAE	integrin subunit alpha E	Egretta garzetta	little egret	188379	NW_009258884.1:2426943-2456615	-	chr Un	PROTEIN_CODING	XM_035889511.1	transcript variant X2	4015	XM_035889511.1:352-3933	XP_035745404.1	isoform X2	1193	integrin alpha-E
104121858	ITGAE	integrin subunit alpha E	Egretta garzetta	little egret	188379	NW_009258884.1:2426943-2456615	-	chr Un	PROTEIN_CODING	XM_035889513.1	transcript variant X4	3457	XM_035889513.1:214-3375	XP_035745406.1	isoform X4	1053	integrin alpha-E
104121858	ITGAE	integrin subunit alpha E	Egretta garzetta	little egret	188379	NW_009258884.1:2426943-2456615	-	chr Un	PROTEIN_CODING	XM_035889512.1	transcript variant X3	3765	XM_035889512.1:253-3696	XP_035745405.1	isoform X3	1147	integrin alpha-E
104142840	ITGAE	integrin subunit alpha E	Struthio camelus australis		441894	NW_009271012.1:2677530-2710792	-	chr Un	PROTEIN_CODING	XM_009673021.1		4536	XM_009673021.1:1-3801	XP_009671316.1		1266	integrin alpha-E
104257998	ITGAE	integrin subunit alpha E	Gavia stellata	red-throated loon	37040	NC_082618.1:8642271-8668400	+	chr 25	PROTEIN_CODING	XM_059829517.1		4089	XM_059829517.1:1-4077	XP_059685500.1		1358	integrin alpha-E
104339639	ITGAE	integrin subunit alpha E	Opisthocomus hoazin		30419	NW_009900391.1:337838-364055	+	chr Un	PROTEIN_CODING	XM_009945818.1		3969	XM_009945818.1:1-3969	XP_009944120.1		1322	integrin alpha-E
104366697	ITGAE	integrin subunit alpha E	Tyto alba	common barn owl	56313	NW_024881281.1:4797876-4829918	-	chr Un	PROTEIN_CODING	XM_042791421.1		7605	XM_042791421.1:285-4034	XP_042647355.1		1249	integrin alpha-E
104382221	ITGAE	integrin subunit alpha E	Tauraco erythrolophus	red-crested turaco	121530	NW_010077003.1:24117-48831	+	chr Un	PROTEIN_CODING	XM_009990127.1		3804	XM_009990127.1:1-3804	XP_009988429.1		1267	integrin alpha-E
104477734	ITGAE	integrin subunit alpha E	Chlamydotis macqueenii	Macqueen's bustard	187382	NW_010451370.1:2124-26798	-	chr Un	PROTEIN_CODING	XM_010117914.1		3744	XM_010117914.1:1-3744	XP_010116216.1		1247	integrin alpha-E
104527998	ITGAE	integrin subunit alpha E	Antrostomus carolinensis	chuck-will's-widow	279965	NW_010327305.1:2004-26984	-	chr Un	PROTEIN_CODING	XM_029085930.1		3717	XM_029085930.1:1-3717	XP_028941763.1		1238	integrin alpha-E
104544215	ITGAE	integrin subunit alpha E	Mesitornis unicolor	brown roatelo	54374	NW_010198129.1:2408-22745	-	chr Un	PROTEIN_CODING	XM_010189028.1		3692	XM_010189028.1:3-3692	XP_010187330.1		1229	integrin alpha-E
104633933	ITGAE	integrin subunit alpha E	Balearica regulorum gibbericeps	East African grey crowned-crane	100784	NW_010749651.1:2267-24938	-	chr Un	PROTEIN_CODING	XM_010300302.1		3627	XM_010300302.1:1-3627	XP_010298604.1		1208	integrin alpha-E
104677251	ITGAE	integrin subunit alpha E	Rhinopithecus roxellana	golden snub-nosed monkey	61622	NC_044567.1:53585283-53665625	+	chr 19	PROTEIN_CODING	XM_030923668.1	transcript variant X1	3851	XM_030923668.1:43-3636	XP_030779528.1	isoform X1	1197	integrin alpha-E
104677251	ITGAE	integrin subunit alpha E	Rhinopithecus roxellana	golden snub-nosed monkey	61622	NC_044567.1:53585283-53665625	+	chr 19	PROTEIN_CODING	XM_030923669.1	transcript variant X2	3722	XM_030923669.1:21-3503	XP_030779529.1	isoform X2	1160	integrin alpha-E
104677251	ITGAE	integrin subunit alpha E	Rhinopithecus roxellana	golden snub-nosed monkey	61622	NC_044567.1:53585283-53665625	+	chr 19	PROTEIN_CODING	XM_030923670.1	transcript variant X3	3406	XM_030923670.1:21-3266	XP_030779530.1	isoform X3	1081	integrin alpha-E
104677251	ITGAE	integrin subunit alpha E	Rhinopithecus roxellana	golden snub-nosed monkey	61622	NC_044567.1:53585283-53665625	+	chr 19	PROTEIN_CODING	XM_030923671.1	transcript variant X4	3350	XM_030923671.1:21-3209	XP_030779531.1	isoform X4	1062	integrin alpha-E
104835778	ITGAE	integrin subunit alpha E	Haliaeetus leucocephalus	bald eagle	52644	NW_010972831.1:5129391-5148244	+	chr Un	PROTEIN_CODING	XM_010573949.1		3207	XM_010573949.1:1-3207	XP_010572251.1		1068	integrin alpha-E
104853431	Itgae	integrin subunit alpha E	Fukomys damarensis	Damara mole-rat	885580	NW_022900925.1:13325537-13382200	+	chr Un	PROTEIN_CODING	XM_010611374.3		4435	XM_010611374.3:24-3590	XP_010609676.1		1188	integrin alpha-E
104994014	ITGAE	integrin subunit alpha E	Bison bison bison		43346	NW_011494821.1:2759108-2820145	+	chr Un	PROTEIN_CODING	XM_010847474.1		4104	XM_010847474.1:358-3873	XP_010845776.1		1171	integrin alpha-E
105065194	ITGAE	integrin subunit alpha E	Camelus bactrianus	Bactrian camel	9837	NW_011512274.1:329930-369185	-	chr Un	PROTEIN_CODING	XM_045513027.1		3573	XM_045513027.1:98-2992	XP_045368983.1		964	integrin alpha-E
105095759	ITGAE	integrin subunit alpha E	Camelus dromedarius	Arabian camel	9838	NC_087451.1:15751155-15801480	-	chr 16	PROTEIN_CODING	XM_064495042.1	transcript variant X2	3779	XM_064495042.1:117-3533	XP_064351112.1	isoform X2	1138	integrin alpha-E
105095759	ITGAE	integrin subunit alpha E	Camelus dromedarius	Arabian camel	9838	NC_087451.1:15751155-15801480	-	chr 16	PROTEIN_CODING	XM_031469536.2	transcript variant X1	3887	XM_031469536.2:114-3641	XP_031325396.2	isoform X1	1175	integrin alpha-E
105291990	ITGAE	integrin subunit alpha E	Pteropus vampyrus	large flying fox	132908	NW_011888831.1:2879672-2936198	+	chr Un	PROTEIN_CODING	XM_023530369.1		3781	XM_023530369.1:69-3575	XP_023386137.1		1168	LOW QUALITY PROTEIN: integrin alpha-E
105474357	ITGAE	integrin subunit alpha E	Macaca nemestrina	pig-tailed macaque	9545	NW_012010689.1:3988116-4080847	-	chr Un	PROTEIN_CODING	XM_024789719.1		6094	XM_024789719.1:1409-5875	XP_024645487.1		1488	LOW QUALITY PROTEIN: integrin alpha-E
105515669	ITGAE	integrin subunit alpha E	Colobus angolensis palliatus		336983	NW_012115899.1:664024-756928	+	chr Un	PROTEIN_CODING	XM_011947507.1		3695	XM_011947507.1:1-3480	XP_011802897.1		1159	integrin alpha-E
105539977	ITGAE	integrin subunit alpha E	Mandrillus leucophaeus	drill	9568	NW_012102166.1:460965-562898	-	chr Un	PROTEIN_CODING	XM_011980454.1		3344	XM_011980454.1:1-3129	XP_011835844.1		1042	integrin alpha-E
105584616	ITGAE	integrin subunit alpha E	Cercocebus atys	sooty mangabey	9531	NW_012000250.1:12212923-12301206	+	chr Un	PROTEIN_CODING	XM_012057477.1		4149	XM_012057477.1:1-3930	XP_011912867.1		1309	LOW QUALITY PROTEIN: integrin alpha-E
105714439	ITGAE	integrin subunit alpha E	Aotus nancymaae	Ma's night monkey	37293	NW_026988430.1:1996139-2075579	+	chr Un	PROTEIN_CODING	XM_064378081.1		3779	XM_064378081.1:41-3556	XP_064234151.1		1171	integrin alpha-E
105816986	ITGAE	integrin subunit alpha E	Propithecus coquereli	Coquerel's sifaka	379532	NW_012149619.1:407009-464345	-	chr Un	PROTEIN_CODING	XM_012652583.1		3791	XM_012652583.1:37-3558	XP_012508037.1		1173	integrin alpha-E
105879198	ITGAE	integrin subunit alpha E	Microcebus murinus	gray mouse lemur	30608	NC_033675.1:51357485-51434008	+	chr 16	PROTEIN_CODING	XM_020280838.1	transcript variant X1	3882	XM_020280838.1:65-3589	XP_020136427.1	isoform X1	1174	integrin alpha-E
105879198	ITGAE	integrin subunit alpha E	Microcebus murinus	gray mouse lemur	30608	NC_033675.1:51357485-51434008	+	chr 16	PROTEIN_CODING	XM_020280839.1	transcript variant X2	3527	XM_020280839.1:3-3527	XP_020136428.1	isoform X2	1174	integrin alpha-E
105879198	ITGAE	integrin subunit alpha E	Microcebus murinus	gray mouse lemur	30608	NC_033675.1:51357485-51434008	+	chr 16	PROTEIN_CODING	XM_020280840.1	transcript variant X3	3218	XM_020280840.1:94-2925	XP_020136429.1	isoform X3	943	integrin alpha-E
105946656	itgae	integrin subunit alpha E	Xenopus tropicalis	tropical clawed frog	8364	NC_030678.2:30775865-30821056	-	chr 2	PROTEIN_CODING	XM_031896662.1		3974	XM_031896662.1:74-3586	XP_031752522.1		1170	integrin alpha-E
105983324	Itgae	integrin subunit alpha E	Dipodomys ordii	Ord's kangaroo rat	10020	NW_012267235.1:16048533-16103782	+	chr Un	PROTEIN_CODING	XM_013013157.1		3559	XM_013013157.1:1-3345	XP_012868611.1		1114	integrin alpha-E
106045776	ITGAE	integrin subunit alpha E	Anser cygnoides	Swan goose	8845	NW_025927733.1:663300-705332	+	chr Un	PROTEIN_CODING	XR_007167117.1	transcript variant X4	10508					
106045776	ITGAE	integrin subunit alpha E	Anser cygnoides	Swan goose	8845	NW_025927733.1:663300-705332	+	chr Un	PROTEIN_CODING	XM_048074229.1	transcript variant X3	8747	XM_048074229.1:2652-6824	XP_047930186.1	isoform X3	1390	integrin alpha-E
106045776	ITGAE	integrin subunit alpha E	Anser cygnoides	Swan goose	8845	NW_025927733.1:663300-705332	+	chr Un	PROTEIN_CODING	XM_013196471.2	transcript variant X1	9740	XM_013196471.2:3582-7817	XP_013051925.2	isoform X1	1411	integrin alpha-E
106045776	ITGAE	integrin subunit alpha E	Anser cygnoides	Swan goose	8845	NW_025927733.1:663300-705332	+	chr Un	PROTEIN_CODING	XM_048074227.1	transcript variant X2	9740	XM_048074227.1:3582-7817	XP_047930184.1	isoform X2	1411	integrin alpha-E
106493741	ITGAE	integrin subunit alpha E	Apteryx mantelli mantelli		202946	NW_014003422.1:1146495-1181395	+	chr Un	PROTEIN_CODING	XM_013953846.1		4769	XM_013953846.1:63-4076	XP_013809300.1		1337	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XM_044744663.1	transcript variant X6	4135	XM_044744663.1:75-3389	XP_044600598.1	isoform X4	1104	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XM_014832678.2	transcript variant X1	3782	XM_014832678.2:75-3578	XP_014688164.1	isoform X1	1167	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XM_014832679.2	transcript variant X2	3686	XM_014832679.2:75-3482	XP_014688165.1	isoform X2	1135	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XM_044744664.1	transcript variant X7	3575	XM_044744664.1:75-3371	XP_044600599.1	isoform X5	1098	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XM_044744662.1	transcript variant X3	3641	XM_044744662.1:75-3437	XP_044600597.1	isoform X3	1120	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XM_044744667.1	transcript variant X10	3437	XM_044744667.1:75-3305	XP_044600602.1	isoform X8	1076	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XM_044744665.1	transcript variant X8	3451	XM_044744665.1:75-3329	XP_044600600.1	isoform X6	1084	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XM_044744666.1	transcript variant X9	3436	XM_044744666.1:75-3314	XP_044600601.1	isoform X7	1079	integrin alpha-E
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XR_006512242.1	transcript variant X5	11059					
106825717	ITGAE	integrin subunit alpha E	Equus asinus	ass	9793	NC_052189.1:17443738-17514156	+	chr 13	PROTEIN_CODING	XR_006512241.1	transcript variant X4	3597					
106987365	ITGAE	integrin subunit alpha E	Acinonyx jubatus	cheetah	32536	NC_069397.1:12930409-13003403	+	chr E1	PROTEIN_CODING	XM_053211887.1	transcript variant X1	3827	XM_053211887.1:102-3593	XP_053067862.1	isoform X1	1163	integrin alpha-E
106987365	ITGAE	integrin subunit alpha E	Acinonyx jubatus	cheetah	32536	NC_069397.1:12930409-13003403	+	chr E1	PROTEIN_CODING	XM_015085640.3	transcript variant X2	4352	XM_015085640.3:630-4118	XP_014941126.3	isoform X2	1162	integrin alpha-E
107106692	ITGAE	integrin subunit alpha E	Gekko japonicus		146911	NW_015163123.1:11899-95369	+	chr Un	PROTEIN_CODING	XM_015406874.1		3486	XM_015406874.1:1-3486	XP_015262360.1		1161	integrin alpha-E
107159358	Itgae	integrin subunit alpha E	Marmota marmota marmota	Alpine marmot	9994	NW_025999899.1:2840753-2907389	+	chr Un	PROTEIN_CODING	XM_048798403.1	transcript variant X1	3865	XM_048798403.1:68-3583	XP_048654360.1	isoform X1	1171	integrin alpha-E
107159358	Itgae	integrin subunit alpha E	Marmota marmota marmota	Alpine marmot	9994	NW_025999899.1:2840753-2907389	+	chr Un	PROTEIN_CODING	XM_015505919.2	transcript variant X2	7255	XM_015505919.2:3479-6973	XP_015361405.1	isoform X2	1164	integrin alpha-E
107159358	Itgae	integrin subunit alpha E	Marmota marmota marmota	Alpine marmot	9994	NW_025999899.1:2840753-2907389	+	chr Un	PROTEIN_CODING	XM_048798404.1	transcript variant X3	3334	XM_048798404.1:230-3052	XP_048654361.1	isoform X3	940	integrin alpha-E
107507628	ITGAE	integrin subunit alpha E	Rousettus aegyptiacus	Egyptian rousette	9407	NW_023416309.1:76404385-76469384	+	chr Un	PROTEIN_CODING	XM_036222577.1	transcript variant X1	12704	XM_036222577.1:7404-10892	XP_036078470.1	isoform X1	1162	integrin alpha-E
107507628	ITGAE	integrin subunit alpha E	Rousettus aegyptiacus	Egyptian rousette	9407	NW_023416309.1:76404385-76469384	+	chr Un	PROTEIN_CODING	XM_036222579.1	transcript variant X3	12608	XM_036222579.1:7404-10796	XP_036078472.1	isoform X3	1130	integrin alpha-E
107507628	ITGAE	integrin subunit alpha E	Rousettus aegyptiacus	Egyptian rousette	9407	NW_023416309.1:76404385-76469384	+	chr Un	PROTEIN_CODING	XM_036222578.1	transcript variant X2	12683	XM_036222578.1:7404-10871	XP_036078471.1	isoform X2	1155	integrin alpha-E
107507628	ITGAE	integrin subunit alpha E	Rousettus aegyptiacus	Egyptian rousette	9407	NW_023416309.1:76404385-76469384	+	chr Un	PROTEIN_CODING	XM_036222580.1	transcript variant X4	4838	XM_036222580.1:210-3026	XP_036078473.1	isoform X4	938	integrin alpha-E
107527976	ITGAE	integrin subunit alpha E	Miniopterus natalensis		291302	NW_015504302.1:291039-339516	-	chr Un	PROTEIN_CODING	XM_016200880.1		3691	XM_016200880.1:1-3537	XP_016056366.1		1178	integrin alpha-E
108291709	ITGAE	integrin subunit alpha E	Cebus imitator	Panamanian white-faced capuchin	2715852	NW_016107779.1:837992-921561	+	chr Un	PROTEIN_CODING	XM_017512160.2		4493	XM_017512160.2:1-4284	XP_017367649.1		1427	integrin alpha-E
108404158	ITGAE	integrin subunit alpha E	Manis javanica	Malayan pangolin	9974	NW_023436083.1:538593-590337	+	chr Un	PROTEIN_CODING	XM_037022851.1	transcript variant X4	3451	XM_037022851.1:719-3322	XP_036878746.1	isoform X4	867	integrin alpha-E
108404158	ITGAE	integrin subunit alpha E	Manis javanica	Malayan pangolin	9974	NW_023436083.1:538593-590337	+	chr Un	PROTEIN_CODING	XM_037022849.1	transcript variant X2	3930	XM_037022849.1:708-3761	XP_036878744.1	isoform X2	1017	integrin alpha-E
108404158	ITGAE	integrin subunit alpha E	Manis javanica	Malayan pangolin	9974	NW_023436083.1:538593-590337	+	chr Un	PROTEIN_CODING	XM_017671610.2	transcript variant X1	4231	XM_017671610.2:708-3779	XP_017527099.2	isoform X1	1023	integrin alpha-E
108404158	ITGAE	integrin subunit alpha E	Manis javanica	Malayan pangolin	9974	NW_023436083.1:538593-590337	+	chr Un	PROTEIN_CODING	XM_037022850.1	transcript variant X3	3311	XM_037022850.1:178-2859	XP_036878745.1	isoform X3	893	integrin alpha-E
108523085	ITGAE	integrin subunit alpha E	Rhinopithecus bieti	black snub-nosed monkey	61621	NW_016826783.1:473699-552567	-	chr Un	PROTEIN_CODING	XM_017863581.1		3821	XM_017863581.1:22-3606	XP_017719070.1		1194	integrin alpha-E
108787930	ITGAE	integrin subunit alpha E	Nanorana parkeri		125878	NW_017306561.1:330545-401427	+	chr Un	PROTEIN_CODING	XM_018557629.1		3285	XM_018557629.1:1-3285	XP_018413131.1		1094	integrin alpha-E
109255104	ITGAE	integrin subunit alpha E	Panthera pardus	leopard	9691	NW_026526876.1:53480304-53552921	+	chr Un	PROTEIN_CODING	XM_053892556.1	transcript variant X1	3787	XM_053892556.1:62-3553	XP_053748531.1	isoform X1	1163	integrin alpha-E
109255104	ITGAE	integrin subunit alpha E	Panthera pardus	leopard	9691	NW_026526876.1:53480304-53552921	+	chr Un	PROTEIN_CODING	XM_053892557.1	transcript variant X2	3554	XM_053892557.1:108-3320	XP_053748532.1	isoform X2	1070	integrin alpha-E
109293343	ITGAE	integrin subunit alpha E	Gavialis gangeticus	Gharial	94835	NW_017729012.1:9544099-9582075	-	chr Un	PROTEIN_CODING	XM_019511205.1		4603	XM_019511205.1:137-3781	XP_019366750.1		1214	integrin alpha-E
109316947	ITGAE	integrin subunit alpha E	Crocodylus porosus	Australian saltwater crocodile	8502	NW_017728932.1:16008595-16040975	-	chr Un	PROTEIN_CODING	XM_019545317.1		4738	XM_019545317.1:146-3757	XP_019400862.1		1203	integrin alpha-E
109391882	ITGAE	integrin subunit alpha E	Hipposideros armiger	great roundleaf bat	186990	NW_017731654.1:1804846-1870384	+	chr Un	PROTEIN_CODING	XM_019659817.1		6128	XM_019659817.1:2511-5930	XP_019515362.1		1139	integrin alpha-E
109573596	ITGAE	integrin subunit alpha E	Bos indicus	zebu cattle	9915	NC_032668.1:24486662-24552627	-	chr 19	PROTEIN_CODING	XR_002182947.1	transcript variant X2	5127					
109573596	ITGAE	integrin subunit alpha E	Bos indicus	zebu cattle	9915	NC_032668.1:24486662-24552627	-	chr 19	PROTEIN_CODING	XM_019980864.1	transcript variant X1	5376	XM_019980864.1:190-3705	XP_019836423.1		1171	integrin alpha-E
109694462	Itgae	integrin subunit alpha E	Castor canadensis	American beaver	51338	NW_017871499.1:58955-105346	+	chr Un	PROTEIN_CODING	XM_020176404.1		3951	XM_020176404.1:1-3537	XP_020031993.1		1178	integrin alpha-E
110129705	ITGAE	integrin subunit alpha E	Odocoileus virginianus	white-tailed deer	9874	NW_018341686.1:594800-653578	+	chr Un	PROTEIN_CODING	XM_020881188.1		3733	XM_020881188.1:1-3501	XP_020736847.1		1166	integrin alpha-E
110193088	ITGAE	integrin subunit alpha E	Phascolarctos cinereus	koala	38626	NW_018344106.1:1017937-1070079	+	chr Un	PROTEIN_CODING	XM_020964670.1	transcript variant X1	5152	XM_020964670.1:1024-4734	XP_020820329.1	isoform X1	1236	integrin alpha-E
110193088	ITGAE	integrin subunit alpha E	Phascolarctos cinereus	koala	38626	NW_018344106.1:1017937-1070079	+	chr Un	PROTEIN_CODING	XM_020964674.1	transcript variant X5	5071	XM_020964674.1:1024-4653	XP_020820333.1	isoform X5	1209	integrin alpha-E
110193088	ITGAE	integrin subunit alpha E	Phascolarctos cinereus	koala	38626	NW_018344106.1:1017937-1070079	+	chr Un	PROTEIN_CODING	XM_020964677.1	transcript variant X8	4975	XM_020964677.1:1024-4557	XP_020820336.1	isoform X8	1177	integrin alpha-E
110193088	ITGAE	integrin subunit alpha E	Phascolarctos cinereus	koala	38626	NW_018344106.1:1017937-1070079	+	chr Un	PROTEIN_CODING	XM_020964673.1	transcript variant X4	5107	XM_020964673.1:1024-4689	XP_020820332.1	isoform X4	1221	integrin alpha-E
110193088	ITGAE	integrin subunit alpha E	Phascolarctos cinereus	koala	38626	NW_018344106.1:1017937-1070079	+	chr Un	PROTEIN_CODING	XM_020964675.1	transcript variant X6	5053	XM_020964675.1:1024-4635	XP_020820334.1	isoform X6	1203	integrin alpha-E
110193088	ITGAE	integrin subunit alpha E	Phascolarctos cinereus	koala	38626	NW_018344106.1:1017937-1070079	+	chr Un	PROTEIN_CODING	XM_020964671.1	transcript variant X2	5149	XM_020964671.1:1024-4731	XP_020820330.1	isoform X2	1235	integrin alpha-E
110193088	ITGAE	integrin subunit alpha E	Phascolarctos cinereus	koala	38626	NW_018344106.1:1017937-1070079	+	chr Un	PROTEIN_CODING	XM_020964672.1	transcript variant X3	5134	XM_020964672.1:1024-4716	XP_020820331.1	isoform X3	1230	integrin alpha-E
